               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.009385,             0.01615,            0.003647,          3.1133e-05,               0.375,          4.1962e-05,          6.5622e-06,           0.0096258,            0.005579,           0.0026945,              0.0784,              0.0024,              0.0024
                   1,           0.0071161,           0.0068785,            0.002887,          7.2508e-05,               0.875,          0.00025376,          3.3882e-05,           0.0088811,           0.0018474,           0.0028156,            0.055851,           0.0048515,           0.0048515
                   2,           0.0092825,           0.0031168,           0.0027861,          0.00011983,               0.625,           0.0014159,          0.00034658,           0.0071379,          0.00050317,           0.0028973,            0.033253,           0.0072535,           0.0072535
                   3,            0.011581,           0.0017773,           0.0044514,          8.7474e-05,               0.125,          0.00026613,          8.8001e-05,           0.0091666,          0.00017777,            0.001542,            0.010606,            0.009606,            0.009606
                   4,            0.014512,           0.0011426,           0.0041603,          0.00060606,                0.25,          0.00047514,          4.7514e-05,           0.0072352,          0.00021237,           0.0014397,            0.009604,            0.009604,            0.009604
                   5,            0.014719,          0.00087167,           0.0033873,           0.0011641,                0.25,           0.0010993,          0.00029231,            0.007419,          0.00020444,           0.0014522,            0.009604,            0.009604,            0.009604
                   6,            0.018075,           0.0006788,           0.0045058,          0.00015733,               0.125,          0.00012822,          3.8467e-05,             0.00812,          0.00016831,           0.0011571,            0.009505,            0.009505,            0.009505
                   7,           0.0083801,          0.00073479,           0.0011596,          0.00017906,               0.375,           0.0032495,           0.0006737,           0.0072533,          0.00020774,          0.00086641,            0.009406,            0.009406,            0.009406
                   8,            0.014249,          0.00075562,           0.0022233,          9.8348e-05,                0.25,          0.00043523,          0.00018166,           0.0064652,          0.00023465,          0.00072278,            0.009307,            0.009307,            0.009307
                   9,           0.0078444,          0.00059116,           0.0019152,          0.00022242,               0.375,           0.0030217,          0.00099485,           0.0070337,          0.00020012,           0.0007532,            0.009208,            0.009208,            0.009208
                  10,             0.00416,          0.00031447,          0.00091553,          0.00019845,                0.25,           0.0011361,          0.00037147,           0.0077241,          0.00015428,          0.00073357,            0.009109,            0.009109,            0.009109
                  11,           0.0040514,          0.00033751,          0.00048556,          0.00083612,               0.375,           0.0098884,           0.0037859,           0.0073338,          0.00019496,           0.0011052,             0.00901,             0.00901,             0.00901
                  12,            0.012177,          0.00057557,             0.00259,                   0,                   0,                   0,                   0,           0.0081176,          0.00015491,          0.00075381,            0.008911,            0.008911,            0.008911
                  13,            0.013728,          0.00056274,           0.0021752,          0.00042992,               0.125,          0.00053124,          0.00010882,           0.0067872,          0.00024124,           0.0015406,            0.008812,            0.008812,            0.008812
                  14,           0.0035544,          0.00027738,           0.0013384,                   0,                   0,                   0,                   0,           0.0079326,          0.00019134,           0.0010026,            0.008713,            0.008713,            0.008713
                  15,             0.01269,          0.00059645,           0.0013438,          0.00019826,                 0.5,          0.00045914,          0.00014624,           0.0068878,          0.00023455,          0.00077366,            0.008614,            0.008614,            0.008614
                  16,           0.0058934,          0.00034591,          0.00094444,          0.00049211,               0.375,           0.0012765,          0.00062986,           0.0069836,           0.0002157,            0.001027,            0.008515,            0.008515,            0.008515
                  17,            0.010567,          0.00034778,           0.0013664,                   0,                   0,                   0,                   0,           0.0062011,          0.00024992,          0.00093463,            0.008416,            0.008416,            0.008416
